TelCon,Content code,start,end,duration,content,topic
F34,f,259.607,260.053,0.446,filler_rF,compass
F34,p,260.053,263.492,3.439,rF,compass
F34,pp,263.492,263.828,0.336,cF rF,compass
F34,s,263.828,264.922,1.094,silence,compass
F34,p,264.922,267.171,2.249,cF,chocolate
F34,f,267.171,267.851,0.68,filler_cF,chocolate
F34,pp,267.851,268.686,0.835,cF rF,chocolate
F34,p,268.686,269.735,1.049,cF,chocolate
F34,pp,269.735,270.643,0.908,cF rF,chocolate
F34,p,270.643,272.266,1.623,rF,chocolate
F34,pp,272.266,272.568,0.302,cF rF,chocolate
F34,l,272.568,273.838,1.27,laughter_cF,chocolate
F34,p,273.838,274.751,0.913,cF,chocolate
F34,s,274.751,275.053,0.302,silence,chocolate
F34,p,275.053,279.342,4.289,cF,other
F34,pbc,279.342,280.499,1.157,bc_rF cF,other
F34,p,280.499,282.45,1.951,cF,other
F34,pbc,282.45,282.921,0.471,bc_rF cF,other
F34,p,282.921,285.004,2.083,cF,other
F34,pp,285.004,286.234,1.23,cF rF,other
F34,p,286.234,287.501,1.267,cF,other
F34,p,287.501,287.771,0.27,rF,other
F34,s,287.771,288.225,0.454,silence,other
F34,p,288.225,292.866,4.641,cF,other
F34,pp,292.866,293.211,0.345,cF rF,other
F34,p,293.211,293.968,0.757,rF,other
F34,s,293.968,294.708,0.74,silence,other
F34,p,294.708,295.254,0.546,cF,other
F34,pp,295.254,295.515,0.261,cF rF,other
F34,p,295.515,296.266,0.751,rF,other
F34,s,296.266,296.51,0.244,silence,other
F34,p,296.51,297.006,0.496,cF,other
F34,pp,297.006,297.872,0.866,cF rF,other
F34,l,297.872,298.394,0.522,laughter_cF,other
F34,pl,298.394,299.1,0.706,laughter_cF rF,other
F34,p,299.1,301.431,2.331,rF,other
